,List of temples
0,kashi
1,vishwanath
2,sarnath
3,durga
4,kaal
5,bhairav
6,varanasi
7,banke
8,bihari
9,mankames
10,rukmini
11,devi
12,varahalak
13,narasimha
14,belon
15,ritanjaya
16,mahadev
17,ram
18,janmabhoomi
19,krishna
20,gorakhnath
21,alopi
22,baba
23,gangeshwarnath
24,dham
25,bateshwar
26,baldev
27,dauji
28,mathura
29,vrindavan
30,dwarkadheesh
31,gola
32,gokaran
33,nath
34,chopla
35,hanuman
36,puramahadev
37,jeeteshvaishya
38,augharnath
39,baladev
40,prem
41,goraknath
42,janma
43,bhoomi
44,kesava
45,deo
46,vindhyavasini
47,vindhyachal
48,ranganatha
49,aurugnath
50,shiva
51,saryu
52,garhi
53,kusum
54,sarovar
55,ramkot
56,fort
57,keshi
58,ghat
59,shiv
60,madhya
